Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1881   -13  -15   -1   -2   -2  -25  -11   -6  -17  -22  -27  -17    -13 -13    -16   -2  -14  -22  1881
1882     3    5   -1  -23  -19  -31  -26  -10  -11  -24  -24  -37    -16 -15     -3  -14  -22  -20  1882
1883   -38  -37  -12  -19  -20   -7   -2  -13  -19  -18  -27  -19    -19 -21    -37  -17   -7  -22  1883
1884   -19  -13  -29  -35  -32  -35  -30  -24  -28  -25  -28  -24    -27 -26    -17  -32  -30  -27  1884
1885   -56  -28  -18  -36  -34  -39  -27  -24  -17  -14  -13    2    -25 -27    -36  -29  -30  -14  1885
1886   -36  -42  -33  -22  -20  -29  -11  -19  -11  -21  -27  -16    -24 -22    -25  -25  -20  -20  1886
1887   -58  -42  -24  -32  -27  -25  -18  -28  -23  -32  -27  -39    -31 -29    -38  -28  -23  -27  1887
1888   -42  -40  -38  -24  -25  -20  -10  -12  -10   -3    0   -9    -19 -22    -40  -29  -14   -4  1888
1889   -17   17    8    8    0   -9  -11  -18  -17  -20  -31  -29    -10  -8     -3    5  -13  -23  1889
1890   -40  -36  -36  -33  -43  -28  -24  -31  -31  -20  -44  -29    -33 -33    -35  -37  -27  -31  1890
1891   -42  -48  -18  -26  -20  -25  -24  -20  -16  -27  -40  -11    -27 -28    -40  -21  -23  -28  1891
1892   -35  -14  -35  -38  -34  -30  -33  -27  -20  -17  -47  -42    -31 -28    -20  -35  -30  -28  1892
1893   -84  -57  -27  -35  -44  -34  -16  -28  -23  -21  -20  -36    -36 -36    -61  -35  -26  -22  1893
1894   -54  -33  -24  -46  -37  -40  -25  -21  -25  -23  -34  -26    -32 -33    -41  -36  -29  -27  1894
1895   -50  -49  -29  -23  -29  -26  -18  -18   -9  -12  -15  -19    -25 -25    -41  -27  -21  -12  1895
1896   -30  -20  -33  -38  -24  -16   -9   -9   -6    4  -16  -13    -18 -18    -23  -32  -11   -6  1896
1897   -21  -22  -23  -11  -11  -22  -12  -18  -13  -18  -24  -27    -18 -17    -18  -15  -17  -18  1897
1898   -12  -38  -56  -34  -36  -24  -27  -26  -23  -35  -39  -26    -31 -31    -26  -42  -26  -32  1898
1899   -20  -39  -36  -21  -25  -35  -19  -13   -7   -7    6  -29    -20 -20    -28  -27  -23   -2  1899
1900   -37   -3    2  -15  -15  -21  -19  -14  -15   -4  -19  -13    -14 -16    -23  -10  -18  -12  1900
1901   -32   -7    1  -12  -23  -17  -17  -22  -25  -35  -25  -33    -21 -19    -17  -11  -19  -28  1901
