"BEDSCODE","School","NumTested2012","Mean2012","Pass2012","Charter","GradeSubject","County","BOCES","NumTested2013","Mean2013","Pass2013","TotalTested"
"010100010020","NORTH ALBANY ACADEMY",49,647,6,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",61,255,0,110
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",250,650,20,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",231,271,7,481
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",263,661,31,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",262,283,11,525
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL",51,689,90,TRUE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",52,309,24,103
"010100860876","ACHIEVEMENT ACADEMY CHARTER SCHOOL",61,680,68,TRUE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",71,285,1,132
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",71,658,31,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",74,276,2,145
"010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL",412,689,79,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",379,315,39,791
"010402060008","RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL",151,686,76,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",146,305,28,297
"010500010008","COHOES MIDDLE SCHOOL",128,677,56,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",137,285,5,265
"010601060012","SAND CREEK MIDDLE SCHOOL",218,689,80,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",197,312,37,415
"010601060013","LISHA KILL MIDDLE SCHOOL",185,685,75,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",167,305,30,352
"010615020001","MENANDS SCHOOL",30,661,30,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",24,304,28,54
"010623060009","SHAKER JUNIOR HIGH SCHOOL",449,701,88,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",405,323,54,854
"010701030001","HEATLY SCHOOL",29,658,10,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",19,288,5,48
"010802060008","FARNSWORTH MIDDLE SCHOOL",422,692,84,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",399,318,44,821
"011003060003","VOORHEESVILLE MIDDLE SCHOOL",104,684,69,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",82,314,38,186
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",113,666,41,FALSE,"Grade 8 Math","Albany","BOCES ALBANY-SCHOH-SCHENECTADY-SARAT",109,283,11,222
